CET/CEST,MurskoSredisce,Gorican,DonjaDubrava,DonjaDubrava,Botovo,Gibina,MurskoSredisce,Gorican,DonjaDubrava,DonjaDubrava,Botovo,KotoribaMost,SvMartinNaMuri,VelikiPazut
,H.merged,H.merged,H.obs,H.envelope,H.obs,Q.merged,Q.merged,Q.merged,Q.obs,Q.envelope,Q.obs,H,H,H
2025-05-13 07:00:00,212.37,168.93,-25,282.49,140,181.537,208.1,200.35,354.23,1494.18,569.5,,,
2025-05-13 08:00:00,212.37,167.94,-14,282.6,140,179.539,208.1,198.6,384.56,1494.757,569.5,,,
2025-05-13 09:00:00,209.24,164.96,-11,282.72,139,179.683,204,193.38,392.91,1495.353,566.47,,,
2025-05-13 10:00:00,207.51,164.96,-11,282.84,139,181.513,199.9,193.38,392.91,1495.985,566.47,,,
2025-05-13 11:00:00,206.63,165.95,20,282.97,141,182.904,197.87,195.12,480.97,1496.661,572.52,,,
2025-05-13 12:00:00,206.63,166.94,31,283.11,148,182.935,197.87,196.86,513.03,1497.379,593.74,,,
2025-05-13 13:00:00,208.38,166.94,17,283.26,160,181.076,201.94,196.86,472.3,1498.123,630.27,,,
2025-05-13 14:00:00,209.24,166.94,-21,283.4,166,177.672,204,196.86,365.21,1498.876,648.61,,,
2025-05-13 15:00:00,209.24,166.94,-33,283.55,160,174.149,204,196.86,332.44,1499.622,630.27,,,
2025-05-13 16:00:00,207.51,165.95,-31,283.69,147,171.38,199.9,195.12,337.87,1500.358,590.7,,,
2025-05-13 17:00:00,206.63,165.95,-29,283.83,136,169.719,197.87,195.12,343.31,1501.073,557.41,,,
2025-05-13 18:00:00,203.95,166.94,-19,283.97,132,169.226,191.83,196.86,370.72,1501.76,545.35,,,
2025-05-13 19:00:00,203.04,166.94,-54,284.09,131,169.954,189.84,196.86,276.49,1502.424,542.34,,,
2025-05-13 20:00:00,202.13,166.94,-74,284.22,132,171.669,187.87,196.86,227.53,1503.056,545.35,,,
2025-05-13 21:00:00,202.13,166.94,-38,284.33,119,173.501,187.87,196.86,318.94,1503.648,506.3,,,
2025-05-13 22:00:00,203.04,165.95,4,284.44,113,174.072,189.84,195.12,435.1,1504.202,488.35,,,
2025-05-13 23:00:00,203.04,163.96,18,284.54,123,172.231,189.84,191.64,475.19,1504.729,518.29,,,
2025-05-14 00:00:00,204.85,162.97,19,284.64,142,169.393,193.83,189.91,478.08,1505.234,575.55,,,
2025-05-14 01:00:00,204.85,161.97,-1,284.74,154,168.607,193.83,188.17,420.95,1505.733,611.98,,,
2025-05-14 02:00:00,204.85,160.98,-20,284.84,157,170.485,193.83,186.44,367.97,1506.25,621.12,,,
2025-05-14 03:00:00,203.04,160.98,-36,284.94,153,172.507,189.84,186.44,324.33,1506.803,608.93,,,
2025-05-14 04:00:00,202.13,160.98,-40,285.06,142,172.401,187.87,186.44,313.56,1507.4,575.55,,,
2025-05-14 05:00:00,203.04,161.97,-42,285.18,131,170.42,189.84,188.17,308.2,1508.04,542.34,,,
2025-05-14 06:00:00,204.85,162.97,-30,285.31,125,168.645,193.83,189.91,340.59,1508.711,524.29,,,
2025-05-14 07:00:00,204.85,161.97,-18,285.45,122,168.694,193.83,188.17,373.48,1509.402,515.29,,,
2025-05-14 08:00:00,203.95,161.97,7,285.58,124,169.561,191.83,188.17,443.63,1510.104,521.29,,,
2025-05-14 09:00:00,202.13,160.98,15,285.72,135,169.357,187.87,186.44,466.54,1510.812,554.39,,,
2025-05-14 10:00:00,202.13,160.98,30,285.86,146,168.979,187.87,186.44,510.09,1511.517,587.67,,,
2025-05-14 11:00:00,203.04,160.98,33,285.99,156,169.362,189.84,186.44,518.9,1512.211,618.07,,,
